Planet_Name,Orbital_Period_Days,Semi_Major_Axis_AU,Planet_Mass_Jup,Mpsini_Jup,Planet_Mass_Earth,Mpsini_Earth,Planet_Radius_Earth,Discovery_Method,Planet_Ref
Barnard d,2.3402 ± 0.0003,0.0188 ± 0.0003,0.0008 ± 0.0001,0.0008 ± 0.0001,0.263 ± 0.024,0.263 ± 0.024,0.694,Radial Velocity,<a refstr=BASANT_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...982L...1B/abstract target=ref>Basant et al. 2025</a>
Barnard e,6.7392 ± 0.003,0.0381 ± 0.0005,0.0006 ± 0.0001,0.0006 ± 0.0001,0.193 ± 0.033,0.193 ± 0.033,0.637,Radial Velocity,<a refstr=BASANT_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...982L...1B/abstract target=ref>Basant et al. 2025</a>
Barnard b,3.1542 ± 0.0004,0.0229 ± 0.0003,0.0009 ± 0.0001,0.0009 ± 0.0001,0.299 ± 0.026,0.299 ± 0.026,0.72,Radial Velocity,<a refstr=BASANT_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...982L...1B/abstract target=ref>Basant et al. 2025</a>
Barnard c,4.1244 ± 0.0006,0.0274 ± 0.0004,0.0011 ± 0.0001,0.0011 ± 0.0001,0.335 ± 0.03,0.335 ± 0.03,0.743,Radial Velocity,<a refstr=BASANT_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...982L...1B/abstract target=ref>Basant et al. 2025</a>
GJ 887 b,9.2619 ± 0.0005,0.0683 +0.0022 -0.0024,0.0123 ± 0.0016,0.0123 ± 0.0016,3.9 ± 0.5,3.9 ± 0.5,1.8,Radial Velocity,<a refstr=HARTOGH_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...707A..93H/abstract target=ref>Hartogh et al. 2026</a>
GJ 887 d,50.77 ± 0.05,0.212 +0.007 -0.008,0.0192 ± 0.0044,0.0192 ± 0.0044,6.1 ± 1.4,6.1 ± 1.4,2.34,Radial Velocity,<a refstr=HARTOGH_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...707A..93H/abstract target=ref>Hartogh et al. 2026</a>
GJ 887 c,21.784 ± 0.004,0.121 +0.004 -0.005,0.0205 +0.0031 -0.0028,0.0205 +0.0031 -0.0028,6.5 +1.0 -0.9,6.5 +1.0 -0.9,2.43,Radial Velocity,<a refstr=HARTOGH_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...707A..93H/abstract target=ref>Hartogh et al. 2026</a>
GJ 887 e,4.4249 ± 0.0001,0.0417 +0.0014 -0.0015,0.0046 ± 0.0006,0.0046 ± 0.0006,1.46 +0.19 -0.18,1.46 +0.19 -0.18,1.12,Radial Velocity,<a refstr=HARTOGH_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...707A..93H/abstract target=ref>Hartogh et al. 2026</a>
GJ 1061 b,3.2073 +0.0002 -0.0003,0.021 ± 0.0006,0.0035 ± 0.0003,0.0043 ± 0.0005,1.11 +0.11 -0.09,1.37 +0.16 -0.15,1.04,Radial Velocity,<a refstr=DREIZLER_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...698A.114D/abstract target=ref>Dreizler et al. 2025</a>
GJ 1061 c,6.6821 ± 0.0008,0.0342 +0.0009 -0.001,0.0057 +0.0004 -0.0003,0.0055 ± 0.0007,1.81 +0.13 -0.11,1.74 ± 0.23,1.19,Radial Velocity,<a refstr=DREIZLER_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...698A.114D/abstract target=ref>Dreizler et al. 2025</a>
GJ 1061 d,13.066 ± 0.002,0.054 ± 0.002,0.0053 +0.0005 -0.0007,0.0052 +0.0008 -0.0007,1.67 +0.17 -0.21,1.64 +0.24 -0.23,1.16,Radial Velocity,<a refstr=DREIZLER_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...698A.114D/abstract target=ref>Dreizler et al. 2025</a>
YZ Cet b,2.0209 ± 0.0001,0.0163 +0.0003 -0.0004,0.0022 ± 0.0003,0.0022 ± 0.0003,0.7 +0.09 -0.08,0.7 +0.09 -0.08,0.913,Radial Velocity,<a refstr=STOCK_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A.119S/abstract target=ref>Stock et al. 2020</a>
YZ Cet c,3.0599 ± 0.0001,0.0216 ± 0.0005,0.0036 ± 0.0003,0.0036 ± 0.0003,1.14 +0.11 -0.1,1.14 +0.11 -0.1,1.05,Radial Velocity,<a refstr=STOCK_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A.119S/abstract target=ref>Stock et al. 2020</a>
YZ Cet d,4.6563 ± 0.0003,0.0285 +0.0006 -0.0007,0.0034 ± 0.0004,0.0034 ± 0.0004,1.09 ± 0.12,1.09 ± 0.12,1.03,Radial Velocity,<a refstr=STOCK_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A.119S/abstract target=ref>Stock et al. 2020</a>
Teegarden's Star d,26.13 +0.03 -0.04,0.0791 +0.0025 -0.0027,0.0026 ± 0.0005,0.0026 ± 0.0005,0.82 ± 0.17,0.82 ± 0.17,0.954,Radial Velocity,<a refstr=DREIZLER_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...684A.117D/abstract target=ref>Dreizler et al. 2024</a>
Teegarden's Star c,11.416 ± 0.003,0.0455 +0.0015 -0.0016,0.0033 ± 0.0004,0.0033 ± 0.0004,1.05 +0.14 -0.13,1.05 +0.14 -0.13,1.02,Radial Velocity,<a refstr=DREIZLER_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...684A.117D/abstract target=ref>Dreizler et al. 2024</a>
Teegarden's Star b,4.9063 ± 0.0004,0.0259 +0.0008 -0.0009,0.0036 +0.0004 -0.0003,0.0036 +0.0004 -0.0003,1.16 +0.12 -0.11,1.16 +0.12 -0.11,1.05,Radial Velocity,<a refstr=DREIZLER_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...684A.117D/abstract target=ref>Dreizler et al. 2024</a>
Wolf 1061 c,17.8719 ± 0.0059,0.089 +0.0029 -0.0031,0.0107 +0.0014 -0.0013,0.0107 +0.0014 -0.0013,3.41 +0.43 -0.41,3.41 +0.43 -0.41,1.66,Radial Velocity,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
Wolf 1061 b,4.8869 ± 0.0005,0.0375 +0.0012 -0.0013,0.006 ± 0.0008,0.006 ± 0.0008,1.91 +0.26 -0.25,1.91 +0.26 -0.25,1.21,Radial Velocity,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
Wolf 1061 d,217.21 +0.55 -0.52,0.47 +0.015 -0.017,0.0242 +0.0035 -0.0033,0.0242 +0.0035 -0.0033,7.7 +1.12 -1.06,7.7 +1.12 -1.06,2.69,Radial Velocity,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
GJ 876 e,124.26 ± 0.7,0.3343 ± 0.0013,0.046 ± 0.005,0.0485 +0.0041 -0.004,14.6 ± 1.7,15.43 +1.29 -1.27,3.92,Radial Velocity,<a refstr=RIVERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...719..890R/abstract target=ref> Rivera et al. 2010 </a>
GJ 876 d,1.9378 ± 0.0,0.0208 ± 0.0,0.021 ± 0.001,0.0217 +0.0007 -0.0008,6.83 ± 0.4,6.91 +0.22 -0.27,2.51,Radial Velocity,<a refstr=RIVERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...719..890R/abstract target=ref> Rivera et al. 2010 </a>
GJ 876 c,30.0881 ± 0.0082,0.1296 ± 0.0,0.7142 ± 0.0039,0.7598 +0.0022 -0.0019,226.9846 ± 1.2395,241.5 +0.7 -0.6,14.0,Radial Velocity,<a refstr=RIVERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...719..890R/abstract target=ref> Rivera et al. 2010 </a>
GJ 876 b,61.1166 ± 0.0086,0.2083 ± 0.0,2.2756 ± 0.0045,2.394 ± 0.0031,723.2235 ± 1.4302,760.9 ± 1.0,13.3,Radial Velocity,<a refstr=RIVERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...719..890R/abstract target=ref> Rivera et al. 2010 </a>
GJ 581 b,5.3686 ± 0.0001,0.0399 ± 0.0005,0.0645 +0.0195 -0.011,0.0478 +0.0007 -0.0008,20.5 +6.2 -3.5,15.2 +0.22 -0.27,4.79,Radial Velocity,<a refstr=VON_STAUFFENBERG_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...688A.112V/abstract target=ref>von Stauffenberg et al. 2024</a>
GJ 581 e,3.1481 ± 0.0004,0.028 ± 0.0003,0.0078 +0.0022 -0.0013,0.0053 ± 0.0006,2.48 +0.7 -0.42,1.7 ± 0.2,1.38,Radial Velocity,<a refstr=VON_STAUFFENBERG_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...688A.112V/abstract target=ref>von Stauffenberg et al. 2024</a>
GJ 581 c,12.9211 +0.0008 -0.0007,0.0718 +0.0008 -0.0009,0.0214 +0.0007 -0.0036,0.0173 ± 0.0009,6.81 +0.21 -1.16,5.5 ± 0.3,2.5,Radial Velocity,<a refstr=VON_STAUFFENBERG_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...688A.112V/abstract target=ref>von Stauffenberg et al. 2024</a>
GJ 667 C f,39.026 +0.194 -0.211,0.156 +0.014 -0.017,0.008 ± 0.004,0.008 ± 0.004,2.7 +1.4 -1.2,2.7 +1.4 -1.2,1.45,Radial Velocity,<a refstr=ANGLADA_ESCUDE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.126A/abstract target=ref> Anglada-Escude et al. 2013 </a>
GJ 667 C b,7.203 ± 0.0019,0.0504 ± 0.0,0.0179 ± 0.0008,0.0179 ± 0.0008,5.68 ± 0.23,5.68 ± 0.23,2.25,Radial Velocity,<a refstr=BONFILS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A.109B/abstract target=ref> Bonfils et al. 2013 </a>
GJ 667 C g,256.2 +13.8 -7.9,0.549 +0.052 -0.058,0.014 +0.008 -0.007,0.014 +0.008 -0.007,4.6 +2.6 -2.3,4.6 +2.6 -2.3,1.99,Radial Velocity,<a refstr=ANGLADA_ESCUDE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.126A/abstract target=ref> Anglada-Escude et al. 2013 </a>
GJ 667 C e,62.24 ± 0.55,0.213 +0.019 -0.022,0.008 +0.005 -0.004,0.008 +0.005 -0.004,2.7 +1.6 -1.4,2.7 +1.6 -1.4,1.45,Radial Velocity,<a refstr=ANGLADA_ESCUDE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.126A/abstract target=ref> Anglada-Escude et al. 2013 </a>
GJ 667 C c,28.14 +0.053 -0.065,0.125 +0.012 -0.013,0.012 +0.005 -0.004,0.012 +0.005 -0.004,3.8 +1.5 -1.2,3.8 +1.5 -1.2,1.77,Radial Velocity,<a refstr=ANGLADA_ESCUDE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.126A/abstract target=ref> Anglada-Escude et al. 2013 </a>
GJ 433 d,36.059 ± 0.016,0.178 ± 0.006,0.0164 ± 0.0029,0.0164 ± 0.0029,5.223 ± 0.921,5.223 ± 0.921,2.14,Radial Velocity,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>
GJ 433 b,7.3705 ± 0.0005,0.062 ± 0.002,0.019 ± 0.0019,0.019 ± 0.0019,6.043 ± 0.597,6.043 ± 0.597,2.33,Radial Velocity,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>
GJ 433 c,5094.105 ± 608.617,4.819 ± 0.417,0.102 ± 0.0199,0.102 ± 0.0199,32.422 ± 6.329,32.422 ± 6.329,6.27,Radial Velocity,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>
GJ 367 c,11.5301 ± 0.0078,--,0.013 ± 0.0011,0.013 ± 0.0011,4.13 ± 0.36,4.13 ± 0.36,1.86,Radial Velocity,<a refstr=GOFFO_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...955L...3G/abstract target=ref>Goffo et al. 2023</a>
GJ 367 d,34.369 ± 0.073,--,0.019 ± 0.0015,0.019 ± 0.0015,6.03 ± 0.49,6.03 ± 0.49,2.33,Radial Velocity,<a refstr=GOFFO_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...955L...3G/abstract target=ref>Goffo et al. 2023</a>
GJ 367 b,0.3219 ± 0.0,0.0071 ± 0.0002,0.0016 ± 0.0002,--,0.503 ± 0.078,--,0.736 ± 0.035,Transit,<a refstr=LEE_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260618355L/abstract target=ref>Lee et al. 2026</a>
GJ 357 d,55.661 ± 0.055,0.204 ± 0.015,0.0192 ± 0.0031,0.0192 ± 0.0031,6.1 ± 1.0,6.1 ± 1.0,2.34,Radial Velocity,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...628A..39L/abstract target=ref>Luque et al. 2019</a>
GJ 357 b,3.9306 ± 0.0,0.036 ± 0.0004,0.0058 ± 0.0009,--,1.83 ± 0.3,--,1.2 ± 0.06,Transit,<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>
GJ 357 c,9.1247 +0.0011 -0.001,0.061 ± 0.004,0.0107 ± 0.0014,0.0107 ± 0.0014,3.4 ± 0.46,3.4 ± 0.46,1.66,Radial Velocity,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...628A..39L/abstract target=ref>Luque et al. 2019</a>
AU Mic e,33.11 ± 0.06,--,0.0664 +0.017 -0.0135,0.1108 +0.0211 -0.017,21.1 +5.4 -4.3,35.2 +6.7 -5.4,4.87,Radial Velocity,<a refstr=DONATI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...700A.227D/abstract target=ref>Donati et al. 2025</a>
AU Mic d,12.736 ± 0.0079,--,0.0033 ± 0.0016,--,1.053 ± 0.511,--,1.02,Transit Timing Variations,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>
AU Mic c,18.859 ± 0.0,0.119 ± 0.011,0.0455 +0.0102 -0.0108,--,14.46 +3.24 -3.42,--,2.79 +0.18 -0.17,Transit,<a refstr=MALLORQUIN_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...689A.132M/abstract target=ref>Mallorqu&iacute;n et al. 2024</a>
AU Mic b,8.4634 ± 0.0,0.07 +0.006 -0.007,0.0283 +0.0082 -0.0084,0.18,8.99 +2.61 -2.67,57.2094,4.79 ± 0.29,Transit,<a refstr=MALLORQUIN_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...689A.132M/abstract target=ref>Mallorqu&iacute;n et al. 2024</a>
L 98-59 b,2.2531 ± 0.0,0.0223 ± 0.0007,0.0014 ± 0.0003,--,0.46 ± 0.11,--,0.837 ± 0.019,Transit,<a refstr=CADIEUX_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..154C/abstract target=ref>Cadieux et al. 2025</a>
L 98-59 c,3.6907 ± 0.0,0.0309 ± 0.001,0.0063 ± 0.0004,--,2.0 ± 0.13,--,1.329 ± 0.029,Transit,<a refstr=CADIEUX_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..154C/abstract target=ref>Cadieux et al. 2025</a>
L 98-59 f,23.064 ± 0.055,0.1052 ± 0.0033,0.0088 ± 0.0009,0.0088 ± 0.0009,2.8 ± 0.3,2.8 ± 0.3,1.48,Radial Velocity,<a refstr=CADIEUX_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..154C/abstract target=ref>Cadieux et al. 2025</a>
L 98-59 e,12.8278 ± 0.0018,0.0712 ± 0.0022,0.0089 ± 0.0006,0.0089 ± 0.0006,2.82 ± 0.19,2.82 ± 0.19,1.49,Radial Velocity,<a refstr=CADIEUX_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..154C/abstract target=ref>Cadieux et al. 2025</a>
L 98-59 d,7.4507 ± 0.0,0.0494 ± 0.0016,0.0052 ± 0.0002,--,1.64 ± 0.07,--,1.627 ± 0.041,Transit,<a refstr=CADIEUX_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..154C/abstract target=ref>Cadieux et al. 2025</a>
GJ 180 d,106.3 ± 0.129,0.309 ± 0.01,0.0238 ± 0.0034,0.0238 ± 0.0034,7.56 ± 1.07,7.56 ± 1.07,2.66,Radial Velocity,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>
GJ 180 c,24.329 +0.052 -0.066,0.129 +0.007 -0.017,0.0201 +0.0116 -0.0129,0.0201 +0.0116 -0.0129,6.4 +3.7 -4.1,6.4 +3.7 -4.1,2.41,Radial Velocity,<a refstr=TUOMI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441.1545T/abstract target=ref>Tuomi et al. 2014</a>
GJ 180 b,17.133 ± 0.003,0.092 ± 0.003,0.0204 ± 0.0021,0.0204 ± 0.0021,6.49 ± 0.68,6.49 ± 0.68,2.43,Radial Velocity,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>
TRAPPIST-1 b,1.5108 ± 0.0,0.0115 ± 0.0001,0.0043 ± 0.0002,--,1.374 ± 0.069,--,1.116 +0.014 -0.012,Transit,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>
TRAPPIST-1 c,2.4219 ± 0.0,0.0158 ± 0.0001,0.0041 ± 0.0002,--,1.308 ± 0.056,--,1.097 +0.014 -0.012,Transit,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>
